PBO Station Position Time Series. Reference Frame : Unknown										
Format Version: 1.1.0										
4-character ID: P14P										
Station name  : P14P_GPS        										
First Epoch   : 20100101 115900										
Last Epoch    : 20190907 115900										
Release Date  : 20200121 081140										
NEU Reference position :    -0.9055214917  119.8367143000  137.04220 (Unknown/WGS84)										
Start Field Description										
YYYYMMDD      Year, month, day for the given position epoch										
dN            Difference in North component from NEU reference position, meters										
dE            Difference in East component from NEU reference position, meters										
du            Difference in vertical component from NEU reference position, meters										
Sn            Standard deviation of dN, meters										
Se            Standard deviation of dE, meters										
Su            Standard deviation of dU, meters										
Rne           Correlation of dN and dE										
Rnu           Correlation of dN and dU										
Reu           Correlation of dEand dU										
"Soln          ""rapid"", ""final"", ""suppl/suppf"", ""campd"", or ""repro"" corresponding to products  generated with rapid or final orbit products, in supplemental processing, campaign data processing or reprocessing"										
End Field Description										
*YYYYMMDD	dN	dE	dU	Sn	Se	Su	Rne	Rnu	Reu	Soln
20190110	-106.182	0.57164	-0.29628	0.00277	0.00346	0.01060	-0.052	0.010	0.059	daily
20190111	-106.434	0.57057	-0.30700	0.00267	0.00342	0.01043	-0.084	0.013	-0.018	daily
20190112	-106.455	0.57304	-0.31285	0.00251	0.00355	0.00966	-0.154	-0.006	0.040	daily
20190113	-106.688	0.56992	-0.30798	0.00326	0.00452	0.01378	-0.111	-0.064	0.079	daily
20190114	-106.695	0.57160	-0.30026	0.00250	0.00320	0.00977	-0.095	0.017	0.005	daily
20190115	-106.490	0.56985	-0.31164	0.00229	0.00342	0.00853	-0.082	-0.033	-0.027	daily
20190116	-106.543	0.57258	-0.31067	0.00249	0.00321	0.00966	-0.067	-0.004	0.034	daily
20190117	-106.398	0.56844	-0.31167	0.00246	0.00327	0.00944	-0.169	0.007	-0.041	daily
20190118	-106.843	0.57121	-0.30477	0.00250	0.00313	0.00986	-0.078	-0.017	-0.016	daily
20190119	-106.550	0.57121	-0.30922	0.00250	0.00334	0.00990	-0.049	0.033	0.050	daily
20190120	-106.128	0.57149	-0.31477	0.00266	0.00356	0.01076	-0.084	-0.008	0.002	daily
20190121	-106.700	0.57188	-0.30664	0.00291	0.00388	0.01202	-0.060	-0.004	0.069	daily
20190122	-106.425	0.57395	-0.31196	0.00257	0.00372	0.00980	-0.085	0.001	0.071	daily
20190123	-106.383	0.57421	-0.30181	0.00256	0.00328	0.01028	-0.051	-0.014	0.031	daily
20190124	-106.448	0.57208	-0.30914	0.00240	0.00326	0.00938	-0.066	0.057	-0.003	daily
20190125	-106.757	0.57302	-0.31073	0.00269	0.00354	0.01034	-0.076	0.024	0.126	daily
20190126	-106.572	0.57740	-0.31547	0.00248	0.00318	0.00933	-0.140	0.065	0.001	daily
20190127	-106.424	0.57390	-0.31205	0.00236	0.00326	0.00900	-0.114	0.002	0.012	daily
20190128	-106.606	0.57422	-0.31277	0.00237	0.00329	0.00943	0.038	-0.032	0.034	daily
20190129	-106.674	0.57528	-0.31416	0.00227	0.00282	0.00845	-0.113	0.084	-0.087	daily
20190130	-106.693	0.57244	-0.30618	0.00223	0.00295	0.00828	-0.099	-0.003	0.019	daily
20190131	-106.757	0.57349	-0.31519	0.00296	0.00373	0.01152	-0.066	0.038	0.020	daily
20190201	-106.570	0.57111	-0.31719	0.00231	0.00343	0.00922	-0.071	0.039	0.101	daily
20190202	-106.795	0.57355	-0.31316	0.00256	0.00380	0.00987	-0.168	0.006	-0.071	daily
20190203	-106.758	0.57005	-0.31513	0.00264	0.00351	0.01087	-0.100	-0.055	0.018	daily
20190204	-106.671	0.57476	-0.32314	0.00267	0.00343	0.01141	-0.040	-0.005	0.034	daily
20190205	-106.700	0.57859	-0.31571	0.00239	0.00342	0.00985	-0.096	-0.047	-0.072	daily
20190206	-106.427	0.57443	-0.31005	0.00251	0.00335	0.00978	-0.087	0.046	-0.110	daily
20190207	-106.604	0.57623	-0.30801	0.00269	0.00365	0.01094	-0.085	0.007	-0.086	daily
20190208	-106.889	0.57808	-0.30973	0.00318	0.00409	0.01337	-0.064	0.036	-0.021	daily
